180458,08/31/2007,2800-HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Close,High,Low,Ask,Bid,20D Vol,MA5,MA15,MA12,MA20,MA26,RSI14,Williams R,ADL,PBK_LTM,PBK_NTM,PCF_LTM,PCF_NTM,EVEBIT_LTM,EVEBIT_NTM,DY_LTM,DY_NTM,ADV_VOL,PAYOUT,ANALYST_SENTIMENT,EPS_GRW_FY1,EPS_GRW_FY2,PE_NTM,PE_LTM,C2D_LTM
8/31/07,24.35,24.35,24.35,24.35,24.35,2.367822631,23.82,22.841667,22.696667,22.6225,22.703846,66.14173,-5.11765569,0,2.370978223,2.358143222,11.98503381,11.38302576,16.20463669,15.94281627,2.782796634,2.880127612,99.41989803,48.05196228,1.909071488,30.72448982,2.717279977,16.6950583,16.97580474,58.05047393
9/03/07,24.3,24.3,24.3,24.3,24.3,2.266742609,23.9,23.120832,22.83,22.725,22.757692,65.58559,-5.117666324,-4,2.366986262,2.349552164,11.98953356,11.37081138,16.22067656,15.9256076,2.784563038,2.89230798,11.57002251,48.30567771,1.835358984,31.00543944,1.876752457,16.70908452,16.92557065,58.15483492
9/04/07,24.3,24.3,24.3,24.3,24.3,2.25964905,24.02,23.4125,22.96,22.8325,22.805769,65.58559,-5.08451958,-2,2.3666811,2.347742395,11.96869393,11.33581927,16.20351631,15.88635016,2.784339078,2.894376653,69.55572479,48.30710183,1.725885824,31.04096807,1.891822818,16.69766182,16.91941282,58.17763992
9/05/07,24.35,24.35,24.35,24.35,24.35,2.172140121,24.22,23.620832,23.136667,22.9075,22.83846,65.917946,-4.954385134,6,2.383944131,2.369952925,12.07843415,11.48109077,16.34271621,16.07410642,2.767347573,2.867313642,24.26562277,48.26735052,1.741908202,30.71692915,1.878483576,16.84122481,17.01769184,58.19544555
9/06/07,24.5,24.5,24.5,24.5,24.5,2.160638484,24.36,23.825,23.373333,22.9975,22.903847,66.94918,-4.954354499,11,2.380091413,2.363046878,12.06286215,11.44603299,16.29697201,16.00511307,2.77533853,2.878880464,88.84500184,48.28839721,1.696151332,31.33652036,1.861942967,16.78065959,16.97548506,58.22474309
9/07/07,24.4,24.4,24.4,24.4,24.4,2.028861653,24.37,23.966667,23.613333,23.115,22.967308,65.52575,-7.173940045,9,2.38143194,2.362448781,12.0286435,11.39056714,16.21258688,15.84668125,2.779897563,2.884462174,82.54855056,48.42217289,1.542341589,30.70967776,1.534218895,16.79316685,16.9593529,58.14723687
9/10/07,24.55,24.55,24.55,24.55,24.55,2.023827881,24.42,24.066668,23.793333,23.2275,23.032692,66.67046,-9.217668852,-12,2.405257447,2.391052056,12.48313689,11.91793657,16.48633979,16.26822897,2.719714321,2.813812425,8.00447718,47.96705528,2.253999014,35.25638155,2.376230453,17.0568096,17.21393668,52.20304876
9/11/07,24.5,24.5,24.5,24.5,24.5,2.028938226,24.46,24.166666,23.956667,23.335,23.11923,65.88513,-9.987381275,-19,2.398591537,2.38307921,12.4834233,11.90128081,16.36990724,16.09257912,2.734326635,2.828237938,18.48895113,47.98549485,2.331871379,35.10072058,2.614660423,16.97676739,17.17849638,52.12908641
9/12/07,24.75,24.75,24.75,24.75,24.75,1.865266563,24.54,24.2375,24.093334,23.4875,23.21923,67.919876,-14.29917457,4,2.423594467,2.416673117,12.80436755,12.22972075,16.55786746,16.36386292,2.709081696,2.792887478,51.13342256,48.07059198,2.336837259,34.87079534,2.642742602,17.22224516,17.35722809,52.10038728
9/13/07,25,25,25,25,25,1.58568048,24.64,24.345833,24.203333,23.69,23.301924,69.85607,-12.75670025,24,2.436537249,2.431121275,12.93761552,12.53720579,16.7003448,16.54787568,2.698732729,2.774194845,49.609102,48.04004606,2.752588882,35.51899872,2.683614872,17.3271285,17.43809632,52.13111346
9/14/07,25.25,25.25,25.25,25.25,25.25,1.540191759,24.81,24.504168,24.333334,23.9125,23.4,71.695786,-10.88824795,48,2.466628258,2.470755274,13.10393404,12.77338306,16.96135576,16.85528886,2.674206908,2.735089217,82.76337441,48.04532666,2.921206034,35.33014957,2.766929777,17.57686468,17.62723564,52.14049954
9/17/07,25,25,25,25,25,1.288263465,24.9,24.604166,24.406666,24.07,23.513462,67.27415,-10.88835703,21,2.444185155,2.437568663,12.9856115,12.58169014,16.82612422,16.63898094,2.69076973,2.767487095,12.43620618,48.17166255,1.827090046,34.31708042,3.618960632,17.41967795,17.59793918,52.19380449
9/18/07,25,25,25,25,25,1.29550262,25,24.658333,24.493334,24.2175,23.617308,67.27415,-10.88835703,21,2.440455289,2.431198565,13.0032073,12.57734139,16.82158106,16.61718092,2.693417717,2.774309324,24.1778549,48.17906898,1.85729756,34.88114319,3.64220516,17.37952823,17.57430555,52.19517985
9/19/07,25.75,25.75,25.75,25.75,25.75,1.300229233,25.2,24.779167,24.653334,24.37,23.748077,73.05573,-11.27878385,60,2.511913336,2.52503754,13.46326069,13.14138293,17.37283104,17.33261557,2.619718448,2.672605601,100,48.30145046,1.79750024,34.26603081,3.798057776,18.08766425,18.11368869,52.24353446
9/20/07,26.15,26.15,26.15,26.15,26.15,1.215268763,25.43,24.933332,24.81,24.51,23.919231,75.53791,-11.26049079,57,2.523471172,2.537462436,13.50530314,13.1809609,17.44604231,17.40970235,2.606459212,2.655837713,84.92435522,48.32928849,1.443602845,34.21312025,3.667257983,18.21176255,18.19927781,52.17502741
9/21/07,26.2,26.2,26.2,26.2,26.2,1.20489988,25.62,25.0875,24.933332,24.655,24.121155,75.83755,-11.17321573,56,2.534704251,2.550096472,13.60638606,13.28566126,17.4741676,17.42995973,2.596350704,2.644837975,65.06459112,48.27905577,1.660559187,34.55104847,3.724935759,18.26869883,18.25307875,52.19963604
9/24/07,27.1,27.1,27.1,27.1,27.1,1.287843502,26.04,25.304167,25.12,24.815,24.363462,80.47394,-8.703558204,67,2.582691647,2.615397198,14.01236084,13.73045724,17.82698542,17.85895494,2.539142132,2.571614813,96.88338588,48.34238848,1.799712745,33.6694225,3.574980847,18.81279231,18.66611378,52.17976779
9/25/07,27.1,27.1,27.1,27.1,27.1,1.250576381,26.46,25.529167,25.306667,24.985,24.565384,80.47394,-8.6238326,56,2.574251444,2.602219367,14.04919366,13.72944125,17.85207397,17.87529742,2.546316478,2.585533761,14.70313337,48.33281194,1.798139375,34.11158904,3.517668629,18.7074819,18.58895063,52.16674867
9/27/07,27.5,27.5,27.5,27.5,27.5,1.152877052,26.81,25.775,25.516666,25.1925,24.775,82.23138,-7.563898102,80,2.624743901,2.660891732,14.47259697,14.21710977,18.26869272,18.22510163,2.504673747,2.53365574,81.90709603,48.54322866,1.444838218,33.70699779,3.565343329,19.17380529,18.96273274,52.08251949
